"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2022-08-19 10:10:51",2022,0,1,1,4,4,3,7,0,"500","800"," Gasabo"," Kimihurura"
"2022-08-17 09:05:15",2022,0,1,1,2,2,2,4,0,"500","700"," Gasabo"," Kacyiru"
"2022-08-16 14:20:53",2022,0,1,1,6,5,5,0,0,"1500","1000"," Gasabo"," Kimironko"
"2022-08-15 13:13:07",2022,0,1,1,2,2,1,2,0,"253","220"," Kicukiro"," Kanombe"
"2022-08-15 12:31:36",2022,0,1,1,2,2,1,3,0,"400","700"," Gasabo"," Kimironko"
"2022-08-15 12:29:25",2022,0,1,1,3,3,1,3,0,"400","700"," Gasabo"," Remera"
"2022-08-11 16:49:41",2022,0,1,1,2,2,2,3,0,"400","700"," Gasabo"," Remera"
"2022-08-10 10:31:11",2022,2,1,1,2,3,2,4,2,"5646","600"," Gasabo"," Gisozi"
"2022-08-05 14:27:26",2022,0,1,1,3,3,3,3,0,"500","800"," Gasabo"," Kimironko"
"2022-08-04 17:35:53",2022,0,1,1,2,2,3,2,0,"708","280000"," Gasabo"," Kimironko"
"2022-08-04 08:45:54",2022,0,1,1,3,3,2,3,0,"320","500"," Kicukiro"," Kagarama"
"2022-08-03 13:37:45",2022,0,2,1,6,4,5,8,0,"1500","1000"," Gasabo"," Kimironko"
"2022-08-03 10:31:16",2022,0,1,1,2,2,2,4,0,"400","650"," Gasabo"," Remera"
"2022-07-31 22:19:48",2022,0,1,1,2,2,2,0,0,"0","600"," Gasabo"," Remera"
"2022-07-29 14:03:15",2022,0,1,1,2,2,2,10,0,"850","1200"," Gasabo"," Remera"
"2022-07-26 17:40:13",2022,0,1,1,1,1,1,2,0,"300","400"," Gasabo"," Kacyiru"
"2022-07-25 19:16:08",2022,0,1,1,2,2,3,2,1,"670","280"," Gasabo"," Kimironko"
"2022-07-25 19:00:45",2022,0,1,1,6,4,4,5,0,"1000","1000"," Gasabo"," Kimironko"
"2022-07-21 10:06:37",2022,0,1,1,2,2,2,3,0,"400","700"," Nyarugenge"," Nyarugenge"
"2022-07-21 10:04:27",2022,0,1,1,2,2,2,4,0,"500","1000"," Gasabo"," Remera"
"2022-07-18 17:35:50",2022,0,1,1,4,4,3,8,0,"800","3000"," Nyarugenge"," Nyarugenge"
"2022-07-18 17:30:34",2022,0,1,1,3,3,3,5,0,"700","1000000"," Kicukiro"," Gatenga"
"2022-07-18 17:28:05",2022,0,1,1,4,4,4,5,1,"700","700000"," Gasabo"," Remera"
"2022-07-15 14:06:19",2022,0,1,1,2,2,2,1,0,"800","800"," Gasabo"," Kinyinya"
"2022-07-13 14:36:41",2022,0,1,1,2,2,1,10,0,"700","700"," Gasabo"," Kimironko"
"2022-07-13 14:36:41",2022,0,1,1,2,2,1,10,0,"700","600"," Nyarugenge"," Nyarugenge"
"2022-07-11 14:11:07",2022,0,1,1,2,2,2,2,0,"661","300000"," Gasabo"," Kimironko"
"2022-07-07 17:02:44",2018,4,1,1,2,2,3,10,0,"2000","1200"," Gasabo"," Kimironko"
"2022-07-07 13:55:54",2022,4,1,1,3,3,3,6,0,"914","1200000"," Kicukiro"," Kagarama"
"2022-07-07 05:19:08",2022,0,1,1,2,2,2,3,0,"150","1500"," Gasabo"," Remera"
"2022-07-07 05:10:19",2022,0,1,1,2,2,1,7,0,"800","600000"," Nyarugenge"," Nyarugenge"
"2022-07-07 05:09:46",2022,0,1,1,1,1,1,0,0,"200","200000"," Gasabo"," Remera"
"2022-07-06 16:02:47",2022,0,1,1,2,2,2,4,0,"1000","1000"," Gasabo"," Kinyinya"
"2022-07-05 09:20:00",2022,0,1,1,2,2,2,2,0,"500","600000"," Gasabo"," Gisozi"
"2022-07-03 21:34:04",2022,0,1,1,3,0,3,0,0,"200","700000"," Kicukiro"," Kagarama"
"2022-07-03 20:58:04",2022,0,1,1,2,2,2,0,0,"1800","600000"," Nyarugenge"," Nyarugenge"
"2022-07-03 20:58:01",2022,0,1,1,3,3,3,0,0,"150","700000"," Gasabo"," Gisozi"
"2022-07-01 22:57:25",2022,0,1,1,2,2,2,3,0,"500","500"," Gasabo"," Remera"
"2022-07-01 10:41:42",2022,0,1,1,2,2,2,1,0,"300","700"," Gasabo"," Remera"
"2022-06-30 10:31:17",2022,1,2,2,4,4,4,3,1,"1000","1800"," Gasabo"," Kimironko"
"2022-06-29 19:45:32",2022,0,1,1,3,0,3,2,0,"300","650000"," Gasabo"," Gisozi"
"2022-06-29 11:28:40",2022,1,1,1,2,1,2,2,0,"700","300000"," Gasabo"," Kimironko"
"2022-06-29 11:26:01",2022,1,1,1,2,2,2,2,0,"666","250000"," Gasabo"," Kimironko"
"2022-06-29 10:39:08",2022,0,1,1,2,2,2,4,0,"450","500"," Gasabo"," Gisozi"
"2022-06-29 10:39:08",2022,0,1,1,2,2,1,4,0,"450","600"," Gasabo"," Gisozi"
"2022-06-25 20:46:05",2022,0,1,1,2,2,2,1,0,"300","350"," Gasabo"," Kimironko"
"2022-06-24 16:59:08",2022,0,1,1,3,2,3,2,0,"300","700000"," Gasabo"," Remera"
"2022-06-24 10:28:35",2022,3,1,1,2,2,2,4,0,"120","2000"," Gasabo"," Remera"
"2022-06-24 09:58:15",2022,0,1,1,2,0,2,1,0,"300","700"," Gasabo"," Kimironko"
"2022-06-24 09:58:15",2022,0,1,1,2,2,2,1,0,"300","600"," Gasabo"," Kimironko"
"2022-06-22 18:18:56",2022,0,1,1,1,1,1,2,0,"300","300"," Kicukiro"," Niboye"
"2022-06-22 13:48:54",2022,0,1,1,2,2,1,0,0,"0","700"," Gasabo"," Kacyiru"
"2022-06-20 21:06:38",2022,0,1,1,2,2,2,4,1,"650","800000"," Gasabo"," Kimironko"
"2022-06-15 13:21:41",2022,0,1,1,2,2,2,2,0,"300","500"," Gasabo"," Gisozi"
"2022-06-15 12:21:58",2022,3,1,0,1,1,1,7,0,"43334","280"," Gasabo"," Kacyiru"
"2022-06-13 10:57:16",2022,1,1,1,2,2,2,5,0,"4047","600"," Gasabo"," Kimironko"
"2022-06-13 10:56:25",2022,1,1,1,1,2,1,5,3,"4300","400"," Gasabo"," Kacyiru"
"2022-06-12 17:49:36",2022,0,1,1,2,2,2,3,0,"500","600000"," Gasabo"," Kacyiru"
"2022-06-11 13:31:53",2022,0,1,1,2,2,1,2,0,"450","250000"," Gasabo"," Kimironko"
"2022-06-11 08:05:11",2022,2,1,1,4,4,4,5,1,"800","2000000"," Gasabo"," Kimironko"
"2022-06-09 20:46:29",2021,1,1,1,3,3,2,4,1,"5120","300000"," Kicukiro"," Kanombe"
"2022-06-09 17:10:28",2022,2,1,1,5,5,5,6,1,"990","1500000"," Gasabo"," Rusororo"
"2022-06-09 09:32:11",2022,0,1,1,2,0,2,1,0,"300","700"," Gasabo"," Kimironko"
"2022-06-09 06:09:17",2022,0,1,1,2,2,2,1,0,"300","800"," Gasabo"," Remera"
"2022-06-09 06:06:49",2022,0,1,1,2,0,2,1,0,"300","700"," Gasabo"," Remera"
"2022-06-09 06:04:26",2022,0,1,1,2,2,2,1,0,"300","600"," Gasabo"," Kimironko"
"2022-06-07 09:07:33",2022,0,1,1,1,1,1,2,0,"800","300"," Kicukiro"," Nyarugunga"
"2022-06-04 21:32:31",2022,3,1,1,2,2,2,10,0,"2000","3000"," Gasabo"," Remera"
"2022-06-04 21:26:33",2022,0,1,1,1,1,1,4,2,"5678","400"," Gasabo"," Kacyiru"
"2022-06-04 21:08:08",2022,0,1,1,2,0,2,1,0,"300","350"," Gasabo"," Kimironko"
"2022-06-04 19:37:04",2022,0,1,1,5,5,5,4,0,"700","1300000"," Gasabo"," Kimironko"
"2022-06-04 19:31:59",2022,1,1,1,3,3,2,4,1,"500","500000"," Gasabo"," Kimironko"
"2022-06-02 16:51:49",2019,3,1,1,3,3,3,10,0,"2500","1000"," Kicukiro"," Kigarama"
"2022-06-02 08:00:08",2022,0,1,1,2,0,2,0,0,"600","600000"," Gasabo"," Kacyiru"
"2022-05-30 21:08:08",2022,0,1,1,3,3,3,3,0,"500","800"," Kicukiro"," Niboye"
"2022-05-30 21:07:59",2022,0,1,1,1,1,1,3,0,"300","350"," Gasabo"," Kacyiru"
"2022-05-30 13:44:10",2022,0,1,1,3,3,3,3,0,"500","600"," Kicukiro"," Gikondo"
"2022-05-30 11:37:02",2018,1,1,1,4,4,4,5,1,"600","1200"," Gasabo"," Kimironko"
"2022-05-30 09:51:11",2022,1,1,1,1,1,1,1,0,"700","250"," Gasabo"," Kimironko"
"2022-05-30 09:48:53",2022,0,1,1,2,2,2,2,1,"555","450"," Gasabo"," Kimironko"
"2022-05-30 07:57:40",2022,0,1,1,1,1,1,10,0,"1500","800"," Gasabo"," Kinyinya"
